id,name,racing_chair,day_chair,off_road_chair,handbike,frame_runner,walking_frame,crutches,walking_stick
1613,Fletcher Moss parkrun,0,0,0,0,0,0,0,0
1056,Fletcher’s Cove parkrun,20,45,100,45,65,30,75,75
1912,Florence Park junior parkrun,60,60,65,45,85,85,75,70
2139,Fodder Forest parkrun,55,45,50,35,65,55,55,65
815,Folkestone parkrun,70,55,85,65,90,45,65,70
1524,Foots Cray Meadows parkrun,0,0,0,0,0,0,0,0
1547,Ford parkrun,0,0,90,0,0,0,25,35
2820,Fordingbridge Recreation Ground parkrun,35,45,75,45,65,45,70,70
925,Forest Lake parkrun,50,55,80,50,80,50,75,80
385,Forest Rec junior parkrun,0,0,45,0,5,0,10,10
523,Forest Rec parkrun,0,35,100,40,65,5,75,70
356,Forest of Dean junior parkrun,0,0,40,0,0,0,0,15
161,Forest of Dean parkrun,0,0,25,0,0,0,0,0
2183,Forfar Loch parkrun,40,45,70,40,70,50,70,75
1440,Foro Italico parkrun,0,0,20,0,0,0,0,10
2489,Forster Memorial Park junior parkrun,0,10,55,10,30,0,35,35
1185,Forster parkrun,0,0,35,0,0,0,0,0
2785,Fort La Tour parkrun,0,25,100,30,50,0,80,85
2359,Fort Ward parkrun,0,0,0,0,0,0,0,0
1426,Fort William parkrun,0,0,40,0,0,0,0,5
1519,Foster parkrun,70,50,75,60,90,30,55,65
697,Fountains Abbey parkrun,0,0,0,0,0,0,0,0
2271,Frank Keenan Reserve parkrun,0,0,20,0,0,0,0,0
2171,Frankston Nature Conservation Reserve parkrun,0,0,35,0,0,0,0,15
1078,Franschhoek parkrun,0,0,10,0,0,0,0,0
1449,Friary Park junior parkrun,0,0,25,0,10,0,10,20
1633,Frickley Country parkrun,0,0,15,0,0,0,0,15
2022,Friedrichsau parkrun,65,60,65,50,75,75,80,85
143,Frimley Lodge parkrun,0,0,0,0,0,0,0,0
781,Frog Hollow parkrun,0,0,40,0,0,0,0,0
2218,Frogmary Green Farm parkrun,0,0,15,0,0,0,0,0
1242,Frédéric Back parkrun,40,25,50,30,65,40,40,45
2811,Fugan unga kansui koen parkrun,35,30,45,25,40,35,50,60
2766,Fuglsang Sø parkrun,0,0,5,0,0,0,0,0
1761,Fukakitaryokuchi parkrun,35,30,45,25,40,35,50,60
1907,Fulbourn Hospital parkrun,65,70,95,70,100,70,85,80
2244,Fuldaaue parkrun,65,60,65,50,75,75,80,85
660,Fulham Palace parkrun,10,15,40,10,40,15,45,60
2606,Fulwell Quarry parkrun,0,10,85,0,40,0,70,65
2482,Furzefield Leisure Centre junior parkrun,0,0,55,0,15,0,20,25
1706,Futakotamagawa parkrun,35,30,45,25,40,35,50,60
247,Fælledparken parkrun,0,0,10,0,0,0,0,5
1734,GEC Rec junior parkrun,0,0,40,0,0,0,15,25
2053,Gadebridge Park junior parkrun,0,0,45,0,0,0,0,10
418,Gadebridge parkrun,0,15,75,20,40,0,40,50
2748,Gainsborough Parklands parkrun,0,0,55,0,0,0,0,0
1170,Galston parkrun,0,0,55,5,0,0,0,5
2702,Galup Reserve parkrun,60,60,80,55,90,60,85,90
531,Ganavan Sands parkrun,0,0,30,0,0,0,0,0
2692,Gang Warily junior parkrun,0,0,30,0,5,0,10,15
2350,Ganger Farm parkrun,0,0,30,0,0,0,20,35
1934,Gardenhurst Estate junior parkrun,30,30,45,20,50,45,45,45
1349,Gardiners Creek parkrun,0,0,25,0,0,0,0,5
2110,Garvagh Forest parkrun,0,0,50,0,0,0,15,20
2063,Garvey Park parkrun,0,0,25,0,0,0,0,0
326,Gateshead parkrun,0,0,45,0,25,0,20,25
569,Gatton parkrun,85,80,75,70,100,100,90,85
885,Gawler parkrun,25,20,40,15,35,20,25,40
2066,Gayndah River Walk parkrun,0,0,15,0,0,0,20,30
1104,Gedling junior parkrun,0,0,0,0,0,0,0,0
959,Gedling parkrun,0,0,0,0,0,0,0,0
1503,Geeveston parkrun,30,40,70,40,60,35,55,55
796,Geographe Bay parkrun,100,100,90,100,100,100,100,100
2019,George Lane Memorial parkrun,0,0,30,0,0,0,0,0
1231,George Town parkrun,0,0,10,0,0,0,0,15
677,George parkrun,0,0,80,0,15,0,45,50
1332,Georgengarten parkrun,65,60,65,50,75,75,80,85
1739,Gillies Lake parkrun,0,15,90,25,45,0,50,45
1122,Gilloolys parkrun,0,10,100,20,40,0,60,60
419,Ginninderra parkrun,100,100,100,90,100,100,100,100
1522,Girvan Prom parkrun,60,65,80,60,90,70,85,80
1360,Gisborne parkrun,0,5,55,5,20,0,15,30
578,Gladstone QLD parkrun,50,45,45,35,70,80,65,65
441,Gladstone parkrun,25,40,100,55,85,15,75,70
1705,Glass House Mountains Conservation parkrun,30,40,100,55,75,30,80,75
1629,Glen River parkrun,30,50,90,50,75,40,85,75
2594,Glenfarne Wood parkrun,25,40,90,40,70,20,80,85
1050,Glengarriff parkrun,0,10,95,20,45,0,50,55
2146,Glenoma parkrun,30,35,65,30,60,30,50,60
1793,Globe parkrun,65,60,65,50,75,75,80,85
996,Glossop parkrun,0,0,95,0,10,0,40,40
1368,Gloucester City parkrun,90,85,100,100,100,85,100,100
1941,Gloucester District parkrun,55,60,80,55,85,60,80,80
303,Gloucester North parkrun,0,0,20,0,0,0,0,0
224,Gnoll junior parkrun,0,0,35,0,15,0,10,20
1029,Gnoll parkrun,0,0,75,5,10,0,30,40
1963,Goffert parkrun,0,0,40,0,0,0,0,0
675,Golden Beach parkrun,75,70,80,65,90,95,65,60
977,Golden Harvest parkrun,0,0,25,0,0,0,0,0
2480,Golden Valley Playing Field junior parkrun,0,0,35,0,0,0,0,10
1875,Goldfields Reservoir parkrun,0,15,80,25,30,0,40,40
2376,Gongendo 2gou kouen parkrun,35,30,45,25,40,20,45,60
461,Goole parkrun,55,65,90,65,85,65,75,70
1437,Goolwa parkrun,100,90,80,75,100,100,100,100
900,Goondiwindi parkrun,35,30,40,20,70,50,70,80
2571,Gordon Carmichael Reserve parkrun,0,0,45,0,0,0,0,0
2423,Gordon Park junior parkrun,25,25,45,15,45,35,40,45
2441,Gordon Spratt Reserve parkrun,0,0,40,0,0,0,0,0
1184,Gorey parkrun,95,95,95,80,100,100,100,100
112,Gorleston Cliffs parkrun,15,15,30,10,50,35,50,55
1091,Gorleston junior parkrun,0,0,35,0,0,0,0,0
862,Goudhurst junior parkrun,0,0,45,0,0,0,0,0
